descricao_produto,IA_PRODUTO,IA_LABORATORIO,IA_TIPO DA UNIDADE,IA_QUANTIDADE MG (POR UNIDADE/ML),IA_QUANTIDADE ML,IA_QUANTIDADE UI,IA_QUANTIDADE UNIDADES
DEXAMETASONA CREME 1 MG / G CX / 100 BIS G PRATI,DEXAMETASONA,PRATI DONADUZZI,BISNAGA,"1,00",,,100
DEXAMETASONA 01 MGML ELIXIR 120 ML PRATI DONADUZZI,DEXAMETASONA,PRATI DONADUZZI,SOLUCAO,"1,00",120,,
DEXAMETASONA 1 MG / G CREME 10 G PRATI,DEXAMETASONA,PRATI DONADUZZI,BISNAGA,"1,00",,,
"DEXAMETASONA APRESENTACAO : CREME DOSAGEM : 0 , 1 % PRATI DONADUZZI",DEXAMETASONA,PRATI DONADUZZI,BISNAGA,"1,00",,,
"DEXAMETASONA CREME 0 , 1 TUBO COM 10 G PRATI DONADUZZI",DEXAMETASONA,PRATI DONADUZZI,BISNAGA,"1,00",,,
DEXAMETASONA CREME 1 MG G PRATI DONADUZZI,DEXAMETASONA,PRATI DONADUZZI,BISNAGA,"1,00",,,
DEXAMETASONA CREME 1 MGG G 10 G PRATI DONADUZZI,DEXAMETASONA,PRATI DONADUZZI,BISNAGA,"1,00",,,
DEXAMETAZONA 1 MG G CREME TOPICO PRATI DONADUZZI,DEXAMETASONA,PRATI DONADUZZI,BISNAGA,"1,00",,,
"DEXAMETASONA 1 MG G 0 , 1 % POMADA PRATI DONADUZZI",DEXAMETASONA,PRATI DONADUZZI,BISNAGA,"1,00",,,
"DEXAMETASONA 1 MG G 0 , 1 % PRATI DONADUZZI",DEXAMETASONA,PRATI DONADUZZI,,"1,00",,,
FOSFATO SODICO DE PREDNISOLONA 1 MG ML FRASCO COM 100 ML PRATI DONADUZZI,FOSFATO SODICO DE PREDNISOLONA,PRATI DONADUZZI,FRASCO,"1,00",100,,
FOSFATO SODICO DE PREDNISOLONA 1 MG ML FRASCO COM 100 MLCX PDR 50 UND G VP S C PRATI DONADUZZI,FOSFATO SODICO DE PREDNISOLONA,PRATI DONADUZZI,FRASCO,"1,00",100,,50
LORATADINA 1 MG / ML 60 ML XAROPE FRASCO PRATI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",60,,
LORATADINA 1 MG / ML 100 ML PRATI,LORATADINA,PRATI DONADUZZI,SOLUCAO,"1,00",100,,
LORATADINA 1 MG / ML SUSP 100 ML P RATTI PRATI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,
LORATADINA 1 MG / ML SUSP 100 ML PRATI PRATI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,
LORATADINA 1 MG / ML XAROPE 100 ML PRATI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,
LORATADINA 1 MG / ML XPE 100 ML PRATI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,
LORATADINA 1 MG / ML XPE 120 ML PRATI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",120,,
LORATADINA 1 MG / ML PRATI,LORATADINA,PRATI DONADUZZI,SOLUCAO,"1,00",,,
LORATADINA 1 MG / ML SUSP UNIDADE PRATI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",,,
LORATADINA 1 MG / ML SUSPENSAO PRATI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",,,
LORATADINA 1 MG / ML XPE 100 ML MARCA : PRATI DONA,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,
LORATADINA 1 MG / ML SUSP 100 ML PRATI DONADU,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,
"LORATADINA 1 MG ML XAROPE , FRASCO COM 100 ML CX PDR 50 UND G VP S C PRATI DONADUZZI",LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,50
"LORATADINA 1 MG ML XAROPE , FRASCO COM 100 ML PRATI DONADUZZI",LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,
LORATADINA 1 MG ML XAROPE FRASCO COM 100 ML PRATI DONADUZZI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,
LORATADINA XPE 1 MG / ML 100 ML CX COM 50 PRATI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,50
LORATADINA 1 MG ML PRATI DONADUZZI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",,,
LORATADINA 1 MG ML XAROPE PRATI DONADUZZI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",,,
LORATADINA XAROPE 1 MG ML PRATI DONADUZZI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",,,
LORATADINA 1 MG / ML XAR 100 ML PRATIDONADUZZI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,
LORATADINA 1 MG / ML XAROPE 100 ML PRATIDONADUZZI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",100,,
LORATADINA 1 MG / ML XAROPE PRATIDONADUZZI,LORATADINA,PRATI DONADUZZI,FRASCO,"1,00",,,
PREDNISOLONA 1 MG / ML 60 ML PRATI,PREDNISOLONA,PRATI DONADUZZI,SOLUCAO,"1,00",60,,
PREDNISOLONA 1 MG / ML G 100 ML FR 100 ML PRATI,PREDNISOLONA,PRATI DONADUZZI,FRASCO,"1,00",100,,
PREDNISOLONA 1 MG / ML XAROPE 100 ML GEN PRATI,PREDNISOLONA,PRATI DONADUZZI,FRASCO,"1,00",100,,
PREDNISOLONA 1 MG / ML FR 100 ML MARCA : PRATI DONA,PREDNISOLONA,PRATI DONADUZZI,FRASCO,"1,00",100,,
"PREDNISOLONA , FOSTATO SODICO 1 MG / ML SOLUCAO ORAL 60 ML PRATI",PREDNISOLONA + FOSFATO SODICO,PRATI DONADUZZI,SOLUCAO,"1,00",60,,
"PREDNISOLONA , FOSFATO SODICO 1 MG / ML XAROPE 100 ML GEN PRATI",PREDNISOLONA + FOSFATO SODICO,PRATI DONADUZZI,FRASCO,"1,00",100,,
PREDNISOLONA FOSFATO SODICO 1 MG / ML SOLUCAO ORAL 60 ML PRATI,PREDNISOLONA FOSFATO SODICO,PRATI DONADUZZI,SOLUCAO,"1,00",60,,
RISPERIDONA 1 MG / ML GTS 20 ML PRATI,RISPERIDONA,PRATI DONADUZZI,GOTAS,"1,00",20,,
RISPERIDONA 1 MG / ML SOL ORAL GTSFR 30 ML PRATI C 1,RISPERIDONA,PRATI DONADUZZI,FRASCO,"1,00",30,,1
RISPERIDONA 1 MG / ML GTS 30 ML C FR PRATI,RISPERIDONA,PRATI DONADUZZI,GOTAS,"1,00",30,,
RISPERIDONA 1 MG / ML GTS 30 ML C PRATI,RISPERIDONA,PRATI DONADUZZI,GOTAS,"1,00",30,,
RISPERIDONA 1 MG / ML GTS 30 ML PRATI,RISPERIDONA,PRATI DONADUZZI,GOTAS,"1,00",30,,
RISPERIDONA 1 MG / ML GTS 30 MLPRATI,RISPERIDONA,PRATI DONADUZZI,GOTAS,"1,00",30,,
RISPERIDONA 1 MG / ML 30 ML PRATI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",30,,
RISPERIDONA 1 MG 30 ML PRATI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",30,,
RISPERIDONA 1 MG ML 30 ML PRATI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",30,,
RISPERIDONA 1 MG GCPS PRATI C 1,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,1
RISPERIDONA 1 MG 30 COMPRIMIDOS GN PRATI,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,30
RISPERIDONA 1 MG COMPRIMIDOS PRATI,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,
RISPERIDONA 1 MG G CX / 300 COM PRATI C 1,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,300
RISPERIDONA 1 MG GCMP PRATI C 1,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,1
RISPERIDONA 1 MG GCX / 300 COMPRIMIDOS PRATI C 1,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,300
RISPERIDONA 1 MG GVP CX COM 300 COMPRIMIDOS PRATI C 1,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,300
RISPERIDONA 1 MGCOMP PRATI C 1,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,1
RISPERIDONA 1 MGCX / 300 COMPRIMIDOS PRATI C 1,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,300
RISPERIDONA 1 MGCX COM 300 COM PRATI C 1,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,300
RISPERIDONA COMPRIMIDOS 01 MGCX COM 300 PRATI,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,300
RISPERIDONA 1 MG / ML GTSSOL FRASCO PRATI C 1,RISPERIDONA,PRATI DONADUZZI,FRASCO,"1,00",,,1
RISPERIDONA 1 MG / 1 ML GOTAS PRATI,RISPERIDONA,PRATI DONADUZZI,GOTAS,"1,00",,,
RISPERIDONA 1 MG / ML GOTAS CX / 100 FR PRATI C 1,RISPERIDONA,PRATI DONADUZZI,GOTAS,"1,00",,,100
RISPERIDONA 1 MG / ML GOTAS PRATI,RISPERIDONA,PRATI DONADUZZI,GOTAS,"1,00",,,
"RISPERIDONA , DOSAGEM : 1 MG , ML , USO : SOLUCAO ORAL , COM PIPETA DOSADORA PRATI C 1",RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",,,1
RISPERIDONA 1 MG / ML PRATI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",,,
RISPERIDONA 1 MG / MLPRATI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",,,
RISPERIDONA 1 MG SOLUCAO PRATI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",,,
AFTOVACIN 50 DS P 01 21,AFTOVACIN,,UNIDADE,,,,50
AFTOVACIN 50 DS P 01 21 V 01 23 L VALLEE,AFTOVACIN,L VALLEE,UNIDADE,,,,50
AFTOVACIN OLEOSA 15 DS MSD,AFTOVACIN,MSD,UNIDADE,,,,15
AFTOVACIN OLEOSA 15 DS MSD PART / 009 / 19 FAB / SET / 19,AFTOVACIN,MSD,UNIDADE,,,,15
AG NOVOFINE TIP ETW 100,NOVOFINE TIP,,UNIDADE,,,,100
AG NOVOFINE TIP ETW 100 UN 4 MM,NOVOFINE TIP,,UNIDADE,,,,100
RISPERIDONA 1 MG G COM 300 CPSMARCA : PRATI DONA,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,300
RISPERIDONA G 1 MG / ML 30 ML FRPRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,FRASCO,"1,00",30,,
RISPERIDONA 1 MG / ML 30 ML LAB / FABR PRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",30,,
RISPERIDONA 1 MG C 30 ML PRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",30,,
RISPERIDONA 1 MG COM 30 ML PT / 344 98 PRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",30,,
RISPERIDONA 1 MG ML 30 ML PRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",30,,
RISPERIDONA 1 MG ML C 30 ML PRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",30,,
RISPERIDONA 1 MG COM 300 COMPRIMIDOS PRATI PRATI DONADUZZI PR,RISPERIDONA,PRATI DONADUZZI,COMPRIMIDO/CAPSULA,"1,00",,,300
RISPERIDONA 1 MG / ML SOL CX / 1 PRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",,,1
RISPERIDONA 1 MG / ML SOLUCAO ORAL PRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",,,
RISPERIDONA 1 MG ML PRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",,,
RISPERIDONA 1 MG ML SOLUCAO PRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,SOLUCAO,"1,00",,,
AGASES 15 CMX 30 CM,AGASES,,UNIDADE,,,,
RISPERIDONA 1 MG / ML 30 ML FR + SERMARCA : PRATI DONA,RISPERIDONA,PRATI DONADUZZI,FRASCO,"1,00",30,,
RISPERIDONA 1 MG / ML SOL OR FRS 30 ML + SERGEN PRATI DONADUZZI,RISPERIDONA,PRATI DONADUZZI,FRASCO,"1,00",30,,
RISPERIDONA 30 ML + SER 1 MG / ML PRATI,RISPERIDONA,PRATI DONADUZZI,FRASCO,"1,00",30,,
"CLOREXEDINA SOLUCAO 0 , 1 2 RQUIMICA",CLOREXEDINA,RIOQUIMICA,SOLUCAO,"1,00",,,2
BICARBONATO DE SODIO 1 MGML 840 % 10 ML SAMTEC,BICARBONATO DE SODIO,SAMTEC,SOLUCAO,"1,00",10,,
RISPERIDONA 1 MG COM 30 COMPRIMIDOS SANDOZ,RISPERIDONA,SANDOZ,COMPRIMIDO/CAPSULA,"1,00",,,30
RISPERIDONA 1 MG CX COM 30 COMPRIMIDOS SANDOZ,RISPERIDONA,SANDOZ,COMPRIMIDO/CAPSULA,"1,00",,,30
DOMPERIDONA 1 MG / ML SUSP 100 MLSANOFI / MEDLEY,DOMPERIDONA,SANOFI,FRASCO,"1,00",100,,
HALOPERIDOL COMPRIMIDOS 1 MGCX COM 200 SANTISA,HALOPERIDOL,SANTISA,COMPRIMIDO/CAPSULA,"1,00",,,200
"DEXAMETASONA 0 , 1 % CREME BISNAGA 10 GR SANVA",DEXAMETASONA,SANVAL,BISNAGA,"1,00",,,
DEXAMETASONA 1 MG / G CREME 10 G SANVAL,DEXAMETASONA,SANVAL,BISNAGA,"1,00",,,
"DEXAMETASONA CREME 0 , 1 10 G SANVAL",DEXAMETASONA,SANVAL,BISNAGA,"1,00",,,
DEXAMETASONA CREME 1 MG 10 G G BISNAGA SANVA,DEXAMETASONA,SANVAL,BISNAGA,"1,00",,,
DEXAMETASONA 1 MG / G CREME 10 G SOBRA,DEXAMETASONA,SOBRAL,BISNAGA,"1,00",,,
"DEXAMETASONA CREME 0 , 1 % C 10 G SOBRAL",DEXAMETASONA,SOBRAL,BISNAGA,"1,00",,,
"DEXAMETASONA CREME 0 , 1 10 G SOBRAL",DEXAMETASONA,SOBRAL,BISNAGA,"1,00",,,
"DEXAMETASONA CREME 0 , 1 COM 10 G MARCA : SOBRAL",DEXAMETASONA,SOBRAL,BISNAGA,"1,00",,,
DEXAMETASONA 1 MG / G 10 G POMADA SOBRA,DEXAMETASONA,SOBRAL,BISNAGA,"1,00",,,
DEXAMETASSONA 1 MG / M 10 GR MARCA : SOBRAL,DEXAMETASONA,SOBRAL,,"1,00",,,
RISPERIDONA 1 MG / ML GTS 30 MLSUPERA,RISPERIDONA,SUPERA,GOTAS,"1,00",30,,
RISPERIDONA 1 MG LIQUIDO SUPERA,RISPERIDONA,SUPERA,SOLUCAO,"1,00",,,
ALPRAZOLAM 1 MG COMPRIMIDOS TEUTO,ALPRAZOLAM,TEUTO,COMPRIMIDO/CAPSULA,"1,00",,,
DEXAMETASONA 1 MG / G CR 10 G TEUTO,DEXAMETASONA,TEUTO,BISNAGA,"1,00",,,
DEXAMETASONA 1 MG / G CREME CX COM 10 GR DEXASON MARCA : TEUTO,DEXAMETASONA,TEUTO,BISNAGA,"1,00",,,
MIDAZOLAM INJ 1 MG / ML 05 ML B 1 CX COM 5 TEUTO,MIDAZOLAM,TEUTO,INJETAVEL,"1,00",5,,5
AGLUCOSE 50 MG,AGLUCOSE,,UNIDADE,"50,00",,,
ALPRAZOLAM COMPRIMIDOS 01 MG B 1 CX COM 30 ULTRAMEGA DISTRIBUIDORA H,ALPRAZOLAM,ULTRAMEGA,COMPRIMIDO/CAPSULA,"1,00",,,30
"DEXAMETASONA 0 , 1 % 10 G CREME UNIAO QUIMICA",DEXAMETASONA,UNIAO QUIMICA,BISNAGA,"1,00",,,
DORMIUM 5 MG / 5 ML INJ COM 50 AMPOLAS UNIAO QUIMICA,DORMIUM,UNIAO QUIMICA,AMPOLA OU FRASCO-AMPOLA,"1,00",5,,50
MIDAZOLAM 1 MGML 5 ML CX C 50 B 1 DORMIUM UNIAO QUIMICA,MIDAZOLAM,UNIAO QUIMICA,AMPOLA OU FRASCO-AMPOLA,"1,00",5,,50
RISPERIDONA 1 MG COM 30 COMPMARCA : U QUIMICA,RISPERIDONA,UNIAO QUIMICA,COMPRIMIDO/CAPSULA,"1,00",,,30
RISPERIDONA 1 MGCX / 30 COMPRIMIDOS UNIAO C 1,RISPERIDONA,UNIAO QUIMICA,COMPRIMIDO/CAPSULA,"1,00",,,30
RISPERIDONA 1 MGG CX COM 30 COMPRIMIDOS UNIAO C 1,RISPERIDONA,UNIAO QUIMICA,COMPRIMIDO/CAPSULA,"1,00",,,30
AGUA BORICADA FARMAX 3 COM 10,AGUA BORICADA,FARMAX,UNIDADE,,,,10
RISPERIDONA COMPRIMIDOS 01 MGCX COM 30 UNIAO QUIMICA,RISPERIDONA,UNIAO QUIMICA,COMPRIMIDO/CAPSULA,"1,00",,,30
AGUA DEIONIZADA CX / 02 FORTS,AGUA DEIONIZADA,FORTS,UNIDADE,,,,2
VETNIL MELOXINEW 1 MG 10 COMPRIMIDOS 021558319,MELOXINEW,VETNIL,COMPRIMIDO/CAPSULA,"1,00",,,10
ALPRAZOLAM 1 MG B 1 ZYDUS,ALPRAZOLAM,ZYDUS,,"1,00",,,
ALPRAZOLAM 1 MG ZYDUS,ALPRAZOLAM,ZYDUS,,"1,00",,,
ACETATO DE DEXAMETASONA 1 MG / G CREME DERMATOLOGICO 10 G,ACETATO DE DEXAMETASONA,,BISNAGA,"1,00",,,
ACETATO DE DEXAMETASONA 1 MG CR,ACETATO DE DEXAMETASONA,,BISNAGA,"1,00",,,
ACETATO DE DEXAMETASONA 1 MG G CREME DERMATOLOGICO G GER,ACETATO DE DEXAMETASONA,,BISNAGA,"1,00",,,
"AGULGA DESC 0 , 8 X 25 MM",AGULGA DESC,,UNIDADE,,,,
AGULGA DESC 40 X 12,AGULGA DESC,,UNIDADE,,,,
ACETO TRIANCINOL 1 MG G POM BISNAGA 10 G G,ACETATO DE TRIANCINOLONA,,BISNAGA,"1,00",,,
ACETO TRIANCINOL 1 MG G POM BUCAL BISNAGA 10 G G,ACETATO DE TRIANCINOLONA,,BISNAGA,"1,00",,,
ACTILYSE 50 MG / 50 ML 1 F A ATEPLASE,ACTILYSE,,FRASCO,"1,00",50,,1
ADAPALENO 1 MG / G GEL DERM COM 3,ADAPALENO,,BISNAGA,"1,00",,,3
"ADRENALINA , 1 MG , AMPOLAML",ADRENALINA,,AMPOLA OU FRASCO-AMPOLA,"1,00",1,,
ADRENALINA 1 MG / ML COM 100 AMPOLAS X 1 ML,ADRENALINA,,AMPOLA OU FRASCO-AMPOLA,"1,00",1,,100
"ADRENALINA 1 MG AMPOLA 1 ML EMBALAGEM CONTENDO IDENTIFICACAO , N",ADRENALINA,,AMPOLA OU FRASCO-AMPOLA,"1,00",1,,
ADRENALINA 1 MG ML AMPOLAS 1 ML,ADRENALINA,,AMPOLA OU FRASCO-AMPOLA,"1,00",1,,
ADRENALINA 1 MGML C 100 AMPOLAS X 1 ML,ADRENALINA,,AMPOLA OU FRASCO-AMPOLA,"1,00",1,,100
ADRENALINA 1 MG / 1 ML INJ D 020 / 20,ADRENALINA,,INJETAVEL,"1,00",1,,
ADRENALINA 1 MG IM / IV / SC 1 ML,ADRENALINA,,INJETAVEL,"1,00",1,,
ADRENALINA / EPINEFR 1 MG / ML AMPOLA,ADRENALINA,,AMPOLA OU FRASCO-AMPOLA,"1,00",,,
ADRENALINA 1 MG / ML HYFREN AMPOLA,ADRENALINA,,AMPOLA OU FRASCO-AMPOLA,"1,00",,,
ADRENALINA 1 MG / ML INJ,ADRENALINA,,INJETAVEL,"1,00",,,
ADRENALINA INJETAVEL 1 MG / ML ADREN,ADRENALINA,,INJETAVEL,"1,00",,,
ADRENALINA 1 MG / ML SOL INJ,ADRENALINA,,SOLUCAO,"1,00",,,
ADRENALINA / EPINEFR 1 MG / ML,ADRENALINA,,,"1,00",,,
ADRENALINA 1 MG / ML,ADRENALINA,,,"1,00",,,
ADRENALINA EPINEFRINA INJ 1 MG / ML AMPOLAS 1 ML,ADRENALINA EPINEFRINA,,AMPOLA OU FRASCO-AMPOLA,"1,00",1,,
ADRENALINA EPINEFRINA INJ 1 MG / ML AMPOLAS 1 ML CX 100,ADRENALINA EPINEFRINA,,AMPOLA OU FRASCO-AMPOLA,"1,00",1,,100
ADRENALINA EPINEFRINA 1 MG / ML AMPOLAS,ADRENALINA EPINEFRINA,,AMPOLA OU FRASCO-AMPOLA,"1,00",,,
ADRENALINA EPINEFRINA 1 MG / ML IV / IM,ADRENALINA EPINEFRINA,,INJETAVEL,"1,00",,,
AIPRI 10 MG,AIPRI,,UNIDADE,"10,00",,,
ADVANTAN 1 MG / ML SOL DERM 20 ML,ADVANTAN,,SOLUCAO,"1,00",20,,
"ADVANTAN 0 , 1 % CREME DERM 15 G",ADVANTAN,,BISNAGA,"1,00",,,
"ADVANTAN 0 , 1 % CREME DERM BG 15",ADVANTAN,,BISNAGA,"1,00",,,
ADVANTAN 1 MG G CREME DERMATOLOGICO 15 G,ADVANTAN,,BISNAGA,"1,00",,,
"ADVANTAN 0 , 1 % LOCAO 20 G",ADVANTAN,,SOLUCAO,"1,00",,,
"ADVANTAN 0 , 1 % LOCAO DERM BG 20",ADVANTAN,,SOLUCAO,"1,00",,,
"ADVANTAN 0 , 1 % LOCAO DERM BG 20 G",ADVANTAN,,SOLUCAO,"1,00",,,
ADVANTAN 0 1 % LOCAO 20 G,ADVANTAN,,SOLUCAO,"1,00",,,
"N ALCOOL IODADO 0 , 1 % C 1000 ML",ALCOOL IODADO,,SOLUCAO,"1,00",1000,,
ALGINAC 1 MG 15 COMPRIMIDOS,ALGINAC,,COMPRIMIDO/CAPSULA,"1,00",,,15
ALGINAC 1 MG COM 15 COMPRIMIDOS POS,ALGINAC,,COMPRIMIDO/CAPSULA,"1,00",,,15
"ALPHAGAN 0 , 1 % SOLUCAO OFTALMICA 5 ML",ALPHAGAN,,SOLUCAO,"1,00",5,,
ALPHAGAN Z 1 MG / ML SOLUCAO OFTALMICA 5 M,ALPHAGAN Z,,SOLUCAO,"1,00",5,,
"ALPRAZOLAM 1 , 0 MG COMPRIMIDO",ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,
"ALPRAZOLAM 1 , 0 MG CX 30 COMPRIMIDOS B 1",ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM 1 MG 30 COMPRIMIDOS,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM 1 MG 30 CPDS,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM 1 MG C 30 COMPRIMIDOS B 1 GEN,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM 1 MG C 30 COMPRIMIDOS G B 1,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM 1 MG C 30 COMPRIMIDOS GEN B 1,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM 1 MG COM 30 COMPRIMIDOS,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM 1 MG COM 30 COMPRIMIDOS B 1 GEN,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM 1 MG COM 30 COMPRIMIDOS GEN B 1,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM 1 MG COMPRIMIDOS,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,
ALPRAZOLAM 1 MG COMPRIMIDOS 20 MG SUSP,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,
ALPRAZOLAM 1 MG CX 30 COMPRIMIDOS,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM 1 MG CX 30 COMPRIMIDOS B 1,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM COMPRIMIDOS 01 MG B 1 CX COM 30,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAM COMPRIMIDOS 01 MG B 1 CX COM 30 COMPRIMIDOS,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,30
ALPRAZOLAN 1 MG COMPRIMIDOS,ALPRAZOLAM,,COMPRIMIDO/CAPSULA,"1,00",,,
ALPRAZOLAM 1 MG,ALPRAZOLAM,,,"1,00",,,
ALPRAZOLAM 1 MG B 1,ALPRAZOLAM,,,"1,00",,,
ALPRAZOLAM B 1 MG,ALPRAZOLAM,,,"1,00",,,
ALTEPLASE 50 MG / 50 ML,ALTEPLASE,,SOLUCAO,"1,00",50,,
ANASTROZOL 1 MG 30 COMPRIMIDOS,ANASTROZOL,,COMPRIMIDO/CAPSULA,"1,00",,,30
ANASTROZOL 1 MG COM 30 COMPRIMIDOS,ANASTROZOL,,COMPRIMIDO/CAPSULA,"1,00",,,30
ANLODIPINO 1 MG / ML SOL ORAL 100 ML,ANLODIPINO,,SOLUCAO,"1,00",100,,
AKALMESE 360 MG COM 20,AKALMESE,,UNIDADE,"360,00",,,20
ARIPIPRAZOL 1 MG / ML FR 150 ML,ARIPIPRAZOL,,FRASCO,"1,00",150,,
AKALMESE 360 MG COM 20 L 22 E 0403 V 05 / 24,AKALMESE,,UNIDADE,"360,00",,,20
AZILECT 1 MG CX 30 COMPRIMIDOS,AZILECT,,COMPRIMIDO/CAPSULA,"1,00",,,30
AZILECT 1 MG X 30 COMPRIMIDOS,AZILECT,,COMPRIMIDO/CAPSULA,"1,00",,,30
AKALMESE 360 MG COM 20 L 22 F 0421 V 08 / 24,AKALMESE,,UNIDADE,"360,00",,,20
BROMOPAN 1 MG SOL FR 120 ML,BROMOPAN,,SOLUCAO,"1,00",120,,
BROMOPAN 1 MG SOL FR 120 ML 1 MG SOL FR 120 ML,BROMOPAN,,SOLUCAO,"1,00",120,,
BROMOPRIDA 1 MG SOL ORAL FR 120 ML,BROMOPRIDA,,SOLUCAO,"1,00",120,,
CAVERDILOL 1 MG / ML SOL ORAL 100 ML,CAVERDILOL,,SOLUCAO,"1,00",100,,
CIPROFLOXACINO 200 MG / 200 ML 400 MG F / A 200 ML,CIPROFLOXACINO,,AMPOLA OU FRASCO-AMPOLA,"1,00",200,,
CIPROFLOXACINO 200 MG / 200 ML F / A,CIPROFLOXACINO,,AMPOLA OU FRASCO-AMPOLA,"1,00",200,,
CIPROFLOXACINO INJ 200 MG / 200 ML 400 MG FA,CIPROFLOXACINO,,AMPOLA OU FRASCO-AMPOLA,"1,00",200,,
CIPROFLOXAXINO 200 MG 200 ML,CIPROFLOXACINO,,SOLUCAO,"1,00",200,,
CITONEURIN 1000 MCG INJ 3 AMP,CITONEURIN,,AMPOLA OU FRASCO-AMPOLA,"1,00",,,3
